title,price,pages,reviews,value_per_page,link
How To Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,1000.0,320,4410,0.32,https://www.amazon.in/dp/0241670292/?coliid=I220LQGEBWK7IO&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
"Speech Therapy: 65 Pick-Me-Ups to Get You Through Many of Life's What-The-F*cks; Now with More Words, More Wisdom, and Even More WTFs",1303.0,143,11,0.10974673829623945,https://www.amazon.in/dp/0063414058/?coliid=I2GF95P9NDN8RF&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
"The Advice Trap: Be Humble, Stay Curious & Change the Way You Lead Forever",320.0,248,1491,0.775,https://www.amazon.in/dp/1989603602/?coliid=I17G5WK6TFIOQQ&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Leadership Is Language,699.0,352,1192,0.5035765379113019,https://www.amazon.in/dp/0241373662/?coliid=I3K2VMYQDQV4RB&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Don’t Shut Up,334.08,280,179,0.8381226053639848,https://www.amazon.in/dp/0670099783/?coliid=ICUKEYXJBOJQ3&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
80/20 Sales and Marketing: The Definitive Guide to Working Less and Making More,329.0,256,1230,0.7781155015197568,https://www.amazon.in/dp/8183286488/?coliid=I23I4WV21XTW9F&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery (English),242.0,248,22393,1.024793388429752,https://www.amazon.in/dp/9355434146/?coliid=I4AM3MHBPAZ0M&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Dead Companies Walking,1357.0,256,798,0.18865143699336773,https://www.amazon.in/dp/125089316X/?coliid=I1Z7FXKGQJRU1S&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Never Split the Difference: Negotiating as If Your Life Depended on It | Master Negotiation Skills | Proven Techniques for Success in Life & Business,419.0,288,45370,0.6873508353221957,https://www.amazon.in/dp/1847941494/?coliid=I2WUT1LAQT2MQU&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
"Thinking, Fast and Slow: Master the Art of Decision-Making, Biases, and Cognitive Psychology in this Comprehensive Guide on Human Thinking",479.0,512,31832,1.068893528183716,https://www.amazon.in/dp/0141033576/?coliid=I1SDKD0RS26RRJ&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Principles: Life and Work [Hardcover] Ray Dalio,991.0,592,18000,0.5973763874873865,https://www.amazon.in/dp/1501124021/?coliid=I33H3C0V1OSH1G&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Grit,419.0,464,19091,1.107398568019093,https://www.amazon.in/dp/1785040200/?coliid=I2D670QKXKJ8EK&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
"EGO IS THE ENEMY [Hardcover] Holiday, Ryan",418.0,256,1385,0.6124401913875598,https://www.amazon.in/dp/1781257019/?coliid=I76CO1DYR2DIH&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Ogilvy On Advertising,433.0,288,217,0.6651270207852193,https://www.amazon.in/dp/1802794964/?coliid=I2W5F5C7SGTHVH&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Pandeymonium : Piyush Pandey on Advertis: Piyush Pandey on Advertising,397.0,264,880,0.6649874055415617,https://www.amazon.in/dp/0143427652/?coliid=I29QE44NTPW3WM&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
This is Marketing,646.0,208,5029,0.3219814241486068,https://www.amazon.in/dp/0241370140/?coliid=I3QNT46J8TE063&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Creativity Inc. an inspiring look at how creativity can - and should - be harnessed for business success by the founder of Pixar,528.0,320,10095,0.6060606060606061,https://www.amazon.in/dp/0593070100/?coliid=I1FRVN1CWCLUO9&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Start With Why | A Bestselling Business Book: Discover How Great Leaders Inspire Action and Achieve Success,405.0,256,14866,0.6320987654320988,https://www.amazon.in/dp/0241958229/?coliid=IB8DY7XNAQCBG&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Entreleadership,1890.0,320,1806,0.1693121693121693,https://www.amazon.in/dp/1451617852/?coliid=IV1LGRTPD4362&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
How to Master the Art of Selling,1478.0,416,1098,0.2814614343707713,https://www.amazon.in/dp/0446692743/?coliid=IUR94YEG6H5K5&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Alchemy,420.0,320,1870,0.7619047619047619,https://www.amazon.in/dp/0753556529/?coliid=I1M6AH7QLELWTX&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
$100M Offers: How To Make Offers So Good People Feel Stupid Saying No,,164,18124,,https://www.amazon.in/dp/173747574X/?coliid=I3Q0WOGORT41MN&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it
Subliminal: How Your Unconscious Mind Rules Your Behavior,1281.0,272,1514,0.21233411397345825,https://www.amazon.in/dp/0307472256/?coliid=IS8GIPLLENQ6Q&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
"CULTURE MAP : DECODING HOW PEOPLE THINK,",695.0,288,3007,0.4143884892086331,https://www.amazon.in/dp/1610392760/?coliid=I2TFTCM2DWJ4QC&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Win Every Argument,456.0,336,1279,0.7368421052631579,https://www.amazon.in/dp/9390742439/?coliid=I1LBXEJ82KBUA3&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
